id,room_id,partner_id,room_risk_score_id,room_recommendation_id,snapshot_date,primary_action,secondary_actions_json,priority_score,action_reason_json,candidate_actions_json,generated_at,created_at,updated_at
512,530,4,512,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": 3, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 2450, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 57.8, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
513,531,4,513,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -2, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 2250, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 57.8, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
514,532,4,514,,12/5/2026,campaign_launch,"[""price_adjustment"", ""listing_refresh""]",73,"{""strategy"": ""growth_first"", ""risk_class"": ""high"", ""campaign_type"": 1, ""price_gap_pct"": 6, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 2450, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 57.8, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Test a 5-10% price adjustment to improve competitiveness""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
515,533,4,515,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -25.8, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 2450, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 53.84, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
516,534,4,516,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": 0, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 950, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 33.86, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
517,535,4,517,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -5.4, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 2250, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 53.84, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
518,536,4,518,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -34.1, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 1450, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 36.02, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
519,537,4,519,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -9, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 2250, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 57.8, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
520,538,4,520,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -7.8, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 2250, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 50.6, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
521,539,4,521,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": -18.2, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 2250, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 42.5, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
