id,room_id,partner_id,snapshot_date,risk_score,confidence_score,risk_class,primary_issue,signals_json,features_json,calculated_at,created_at,updated_at
11,11,2,12/5/2026,63,30,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": null}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": null, ""base_price_package_type"": """"}, ""components_daily"": {""rent_fee"": 0, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [], ""total_effective_price_daily"": 0}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": """", ""benchmark_scope"": """", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
12,12,2,12/5/2026,63,33.86,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 3460, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 3460}, ""peer_comparison"": {""price_gap"": 3460, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 7.7, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
13,13,2,12/5/2026,63,38.18,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6000, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6000}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 2, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
14,14,2,12/5/2026,63,38.18,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6000, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6000}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 2, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
15,15,2,12/5/2026,63,38.18,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6000, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6000}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 2, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
16,16,2,12/5/2026,73,42.5,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6500, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6500}, ""peer_comparison"": {""price_gap"": 391.17, ""sample_size"": 4, ""price_gap_pct"": 6.4, ""room_size_gap"": -0.65, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
17,17,2,12/5/2026,73,42.5,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6500, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6500}, ""peer_comparison"": {""price_gap"": 391.17, ""sample_size"": 4, ""price_gap_pct"": 6.4, ""room_size_gap"": -0.65, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
18,18,2,12/5/2026,73,42.5,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6500, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 6500}, ""peer_comparison"": {""price_gap"": 391.17, ""sample_size"": 4, ""price_gap_pct"": 6.4, ""room_size_gap"": -0.65, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
19,19,2,12/5/2026,81,42.5,high,overpriced,"[""overpriced"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 5253.33, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 5253.33}, ""peer_comparison"": {""price_gap"": 2040, ""sample_size"": 4, ""price_gap_pct"": 63.5, ""room_size_gap"": -1.48, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
20,20,2,12/5/2026,63,36.02,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4023.33, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 4023.33}, ""peer_comparison"": {""price_gap"": -1025.67, ""sample_size"": 1, ""price_gap_pct"": -20.3, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
