id,room_id,partner_id,snapshot_date,risk_score,confidence_score,risk_class,primary_issue,signals_json,features_json,calculated_at,created_at,updated_at
214,225,7,12/5/2026,63,53.84,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2000, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27850}, ""peer_comparison"": {""price_gap"": -213.33, ""sample_size"": 15, ""price_gap_pct"": -9.6, ""room_size_gap"": 3.35, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_2km"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
215,226,7,12/5/2026,73,57.8,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2200, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28050}, ""peer_comparison"": {""price_gap"": 123.53, ""sample_size"": 17, ""price_gap_pct"": 5.9, ""room_size_gap"": 0.77, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
216,227,7,12/5/2026,73,53.84,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2300, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28150}, ""peer_comparison"": {""price_gap"": 210, ""sample_size"": 10, ""price_gap_pct"": 10, ""room_size_gap"": -0.39, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""city_code"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
217,228,7,12/5/2026,73,36.02,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 3600, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 29450}, ""peer_comparison"": {""price_gap"": 300, ""sample_size"": 1, ""price_gap_pct"": 9.1, ""room_size_gap"": 8.77, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
218,229,7,12/5/2026,29.63,57.8,low,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 53586.72, ""inquiry_count"": 0, ""occupancy_rate"": 30.7, ""conversion_rate"": 0, ""previous_revenue"": 10047.51, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2200, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28050}, ""peer_comparison"": {""price_gap"": -85.71, ""sample_size"": 7, ""price_gap_pct"": -3.7, ""room_size_gap"": -1.39, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
219,230,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2000, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27850}, ""peer_comparison"": {""price_gap"": -37.5, ""sample_size"": 8, ""price_gap_pct"": -1.8, ""room_size_gap"": 1.5, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
220,231,7,12/5/2026,63,53.84,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2000, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27850}, ""peer_comparison"": {""price_gap"": -142.86, ""sample_size"": 14, ""price_gap_pct"": -6.7, ""room_size_gap"": -1.21, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""city_code"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
221,232,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2300, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28150}, ""peer_comparison"": {""price_gap"": 75, ""sample_size"": 8, ""price_gap_pct"": 3.4, ""room_size_gap"": 0.4, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
222,233,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2300, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28150}, ""peer_comparison"": {""price_gap"": 75, ""sample_size"": 8, ""price_gap_pct"": 3.4, ""room_size_gap"": 0.4, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
223,234,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2300, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28150}, ""peer_comparison"": {""price_gap"": 75, ""sample_size"": 8, ""price_gap_pct"": 3.4, ""room_size_gap"": 0.4, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
224,235,7,12/5/2026,73,57.8,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2400, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28250}, ""peer_comparison"": {""price_gap"": 155.56, ""sample_size"": 9, ""price_gap_pct"": 6.9, ""room_size_gap"": 1.2, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
225,236,7,12/5/2026,73,53.84,high,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2700, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28550}, ""peer_comparison"": {""price_gap"": 342.86, ""sample_size"": 7, ""price_gap_pct"": 14.5, ""room_size_gap"": 3.92, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_2km"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
226,237,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2000, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27850}, ""peer_comparison"": {""price_gap"": -37.5, ""sample_size"": 8, ""price_gap_pct"": -1.8, ""room_size_gap"": 1.5, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
227,238,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2400, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28250}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 7, ""price_gap_pct"": 0, ""room_size_gap"": 0.98, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
228,239,7,12/5/2026,81,52.76,high,overpriced,"[""overpriced"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2700, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28550}, ""peer_comparison"": {""price_gap"": 400, ""sample_size"": 6, ""price_gap_pct"": 17.4, ""room_size_gap"": -0.59, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_2km"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
229,240,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2000, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27850}, ""peer_comparison"": {""price_gap"": -88.24, ""sample_size"": 17, ""price_gap_pct"": -4.2, ""room_size_gap"": -1.95, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
230,241,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 1800, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27650}, ""peer_comparison"": {""price_gap"": -157.14, ""sample_size"": 7, ""price_gap_pct"": -8, ""room_size_gap"": -1.07, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
231,242,7,12/5/2026,63,53.84,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2100, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27950}, ""peer_comparison"": {""price_gap"": 17.71, ""sample_size"": 48, ""price_gap_pct"": 0.9, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""city_code"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
232,243,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2200, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28050}, ""peer_comparison"": {""price_gap"": -50, ""sample_size"": 8, ""price_gap_pct"": -2.2, ""room_size_gap"": -1.37, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
233,244,7,12/5/2026,63,53.84,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 1900, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27750}, ""peer_comparison"": {""price_gap"": -167.44, ""sample_size"": 43, ""price_gap_pct"": -8.1, ""room_size_gap"": 0.09, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""city_code"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
234,245,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 1800, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 27650}, ""peer_comparison"": {""price_gap"": -157.14, ""sample_size"": 7, ""price_gap_pct"": -8, ""room_size_gap"": -1.07, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
235,246,7,12/5/2026,63,57.8,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 33, ""base_price_package_type"": ""m""}, ""components_daily"": {""rent_fee"": 2200, ""other_fee"": 150, ""season_fee"": 0, ""initial_fee"": 3000, ""utility_fee"": 700, ""cleaning_fee"": 22000}, ""missing_components"": [""season_fee""], ""available_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee""], ""total_effective_price_daily"": 28050}, ""peer_comparison"": {""price_gap"": -50, ""sample_size"": 8, ""price_gap_pct"": -2.2, ""room_size_gap"": -1.37, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:34,12/5/2026 10:34,12/5/2026 10:34
